Date,Open,High,Low,Close,Adj Close,Volume
2000-04-17,55.768665,57.166004,55.643906,56.974701,15.507753,3263384
2000-04-18,57.224224,57.581879,56.043144,57.149368,15.555298,2746007
2000-04-19,57.057877,57.057877,54.93692,56.309303,15.326644,5838839
2000-04-20,54.43787,54.712349,52.6912,52.6912,14.966451,4491472
2000-04-21,52.6912,52.6912,52.6912,52.6912,14.966451,0
2000-04-24,52.6912,52.6912,52.6912,52.6912,14.966451,0
2000-04-25,52.774376,54.479458,52.6912,54.31311,15.42714,3045019
2000-04-26,54.895332,55.020096,54.288158,54.43787,15.462579,1689556
2000-04-27,54.229935,54.30479,52.899139,52.973995,15.046776,1886133
2000-04-28,53.38987,53.897236,52.815964,53.356602,15.155452,2176727
2000-05-01,53.356602,53.356602,53.356602,53.356602,15.155452,0
2000-05-02,53.231838,53.81406,53.115395,53.689301,15.249951,1777721
2000-05-03,53.647713,54.629173,53.431458,53.647713,15.23814,2255873
2000-05-04,53.647713,54.105171,53.281742,53.855648,15.297202,2028507
2000-05-05,54.021999,54.021999,53.073807,53.897236,15.309012,1891391
2000-05-08,53.705933,53.88892,52.990631,53.306694,15.141274,1734677
2000-05-09,53.306694,53.306694,53.306694,53.306694,15.141274,0
2000-05-10,52.400089,52.583073,50.695007,51.069294,14.505765,4019692
2000-05-11,50.670055,50.902946,49.696911,50.403896,14.316764,4440892
2000-05-12,50.611832,51.368725,50.611832,51.135834,14.524662,2326017
2000-05-15,50.902946,51.518436,50.877991,51.15247,14.529386,1628502
2000-05-16,51.526756,52.599709,51.285549,51.618248,14.661688,2821359
2000-05-17,51.817867,51.934311,50.362309,50.95285,14.472691,2376353
2000-05-18,50.902946,51.693104,50.536976,50.794819,14.427798,2162037
2000-05-19,50.52866,50.902946,49.904846,50.154373,14.245888,2650441
2000-05-22,50.071198,51.14415,49.954754,50.661739,14.389999,2526343
2000-05-23,50.570248,51.443581,50.545292,50.670055,14.392366,2259749
2000-05-24,50.320721,51.14415,50.320721,50.570248,14.364017,2075431
2000-05-25,51.069294,51.693104,50.279133,50.503708,14.345116,2641846
2000-05-26,50.403896,50.695007,49.53056,49.580467,14.082878,2531389
2000-05-29,49.746815,50.237549,49.505608,49.788403,14.141939,1718058
2000-05-30,49.913166,50.237549,49.497292,49.821674,14.151385,1880772
2000-05-31,50.071198,50.071198,47.950241,48.490875,13.773387,3828301
2000-06-01,48.657227,48.981609,47.908653,48.465923,13.766298,1868753
2000-06-02,48.174812,48.28294,47.417923,48.199764,13.690702,4213353
2000-06-05,48.440971,49.555515,48.241352,49.314308,14.007276,2542610
2000-06-06,49.572147,50.570248,49.505608,50.121101,14.236438,3080170
2000-06-07,49.946434,50.728279,49.838306,50.487072,14.340386,2285575
2000-06-08,50.653419,51.160786,50.112785,50.179325,14.252978,2679992
2000-06-09,50.270817,50.52866,49.738499,49.904846,14.175014,1784631
2000-06-12,50.262501,50.403896,49.854942,49.904846,14.175014,342494
2000-06-13,49.813354,50.02961,49.281036,49.488976,14.056885,2401956
2000-06-14,49.863258,49.863258,48.740402,49.156277,13.962388,2754845
2000-06-15,48.90675,49.247768,48.124908,48.158176,13.678888,2499930
2000-06-16,48.449291,48.490875,46.960461,46.960461,13.338687,23287505
2000-06-19,47.401287,47.875385,47.16008,47.825478,13.584389,2570553
2000-06-20,47.983513,48.141544,47.060272,47.351383,13.449727,2068220
2000-06-21,47.409603,47.575954,46.236839,46.577858,13.230011,3223954
2000-06-22,46.594494,46.744205,45.762745,46.037224,13.076449,2330299
2000-06-23,46.203571,46.902241,45.754429,46.785793,13.289073,2360199
2000-06-26,47.16008,47.376335,46.419827,46.61113,13.239459,2503527
2000-06-27,46.993732,47.268208,46.461414,47.218304,13.411925,2137671
2000-06-28,47.334747,47.634178,46.378239,46.819065,13.298526,2064156
2000-06-29,46.785793,46.868969,45.91246,45.91246,13.041009,1845669
2000-06-30,45.854237,46.336651,45.42173,45.438362,12.906347,2190240
2000-07-03,45.787697,46.369923,45.588078,46.037224,13.076449,1971753
2000-07-04,46.361603,47.326431,46.087128,47.10186,13.37885,2348950
2000-07-05,46.993732,47.817162,46.1703,46.752525,13.279623,2940760
2000-07-06,46.744205,46.819065,45.91246,46.161983,13.111885,2477618
2000-07-07,46.161983,46.161983,46.161983,46.161983,13.111885,0
2000-07-10,47.733986,48.890118,47.617542,48.28294,13.714326,3679128
2000-07-11,48.28294,48.78199,47.783894,48.058369,13.650536,1894347
2000-07-12,48.316212,48.316212,47.467827,47.892017,13.603285,1803958
2000-07-13,47.892017,47.892017,47.892017,47.892017,13.603285,0
2000-07-14,47.284843,47.559319,46.494682,47.16008,13.395387,2753403
2000-07-17,47.409603,47.783894,46.685986,46.819065,13.298526,2454333
2000-07-18,46.760841,48.424335,46.710938,47.950241,13.619823,2168635
2000-07-19,48.075005,50.195957,47.966877,49.838306,14.156115,5272092
2000-07-20,50.220913,51.027706,49.988022,50.121101,14.236438,3868929
2000-07-21,50.220913,50.736595,49.114689,49.123005,13.952937,2568147
2000-07-24,48.499195,48.823578,47.617542,48.241352,13.702511,3729454
2000-07-25,47.867065,47.991829,46.619446,46.769161,13.284348,2967739
2000-07-26,46.844017,47.825478,45.629665,47.575954,13.513513,5882885
2000-07-27,47.118492,47.534367,46.095444,46.794113,13.291437,2733669
2000-07-28,47.118492,48.416019,46.095444,47.459511,13.480437,3085973
2000-07-31,47.575954,48.241352,47.1684,47.501099,13.492251,1551996
2000-08-01,47.65913,47.65913,46.577858,47.16008,13.395387,2065985
2000-08-02,47.043636,48.158176,46.993732,48.083321,13.657622,2328406
2000-08-03,48.233036,48.366116,47.076904,47.492779,13.489883,2229752
2000-08-04,47.908653,48.058369,46.844017,47.59259,13.518236,2921775
2000-08-07,48.233036,48.831894,48.008465,48.532463,13.7852,2614448
2000-08-08,48.831894,49.522243,48.457607,48.948338,13.903327,2762982
2000-08-09,49.214497,51.318817,49.197861,50.902946,14.458515,5616915
2000-08-10,50.902946,53.065487,50.711643,51.892723,14.739647,5795297
2000-08-11,51.734692,52.483265,51.243961,51.859455,14.730197,2547659
2000-08-14,51.57666,52.483265,51.277229,51.651516,14.671137,1919385
2000-08-15,52.150566,52.150566,50.761547,51.15247,14.529386,1575751
2000-08-16,51.15247,51.401993,50.703323,50.994438,14.484496,1539462
2000-08-17,51.252277,51.252277,50.262501,50.778183,14.423078,1101627
2000-08-18,50.902946,50.902946,49.663643,49.913166,14.177377,2270686
2000-08-21,49.796719,49.946434,49.081417,49.946434,14.186824,1646088
2000-08-22,50.02961,51.069294,49.971386,50.52866,14.3522,1999408
2000-08-23,50.320721,51.044342,49.96307,50.819771,14.434887,1974768
2000-08-24,50.869675,50.869675,50.02961,50.112785,14.234076,1650592
2000-08-25,50.487072,50.886311,50.229229,50.437164,14.32621,1217089
2000-08-28,50.570248,50.986118,50.445484,50.736595,14.411266,1443623
2000-08-29,50.736595,50.736595,49.281036,49.738499,14.127766,1838916
2000-08-30,49.738499,49.755135,48.490875,48.90675,13.891512,2186678
2000-08-31,48.831894,48.973289,48.158176,48.158176,13.678888,2248807
2000-09-01,48.28294,48.640591,47.709034,48.183128,13.685975,2219749
2000-09-04,48.324528,49.023193,48.083321,48.615639,13.808824,1430101
2000-09-05,48.615639,48.84021,48.465923,48.465923,13.766298,1712602
2000-09-06,48.815258,49.355892,48.424335,48.740402,13.844258,1635198
2000-09-07,48.449291,48.90675,47.59259,48.108273,13.664711,2378159
2000-09-08,48.407703,48.740402,47.825478,48.166496,13.681248,1810767
2000-09-11,48.257988,48.657227,48.208084,48.424335,13.754487,1754854
2000-09-12,48.224716,48.474243,46.619446,47.135128,13.3883,3681819
2000-09-13,47.135128,47.135128,47.135128,47.135128,13.3883,0
2000-09-14,46.744205,46.844017,45.954048,46.594494,13.234737,2288260
2000-09-15,46.561222,46.744205,45.737793,45.737793,12.9914,9436918
2000-09-18,45.596397,45.845921,44.972584,45.288651,12.863826,3069236
2000-09-19,44.914364,45.321918,43.67506,44.914364,12.757509,3990518
2000-09-20,44.914364,44.964268,43.66674,43.949535,12.483459,2950972
2000-09-21,44.090935,44.332142,42.834995,43.234234,12.280285,3629932
2000-09-22,42.502296,44.282234,42.269405,44.049343,12.511811,3578178
2000-09-25,44.157475,44.456902,42.277721,42.710232,12.131448,3420631
2000-09-26,42.252769,43.375629,41.811947,42.793407,12.155071,3302633
2000-09-27,42.535564,45.163887,41.778675,43.924583,12.476374,9087700
2000-09-28,43.849728,43.87468,41.545788,41.595692,11.814872,7085174
2000-09-29,41.886803,42.419121,41.604008,42.286041,12.01096,3500597
2000-10-02,41.978294,48.78199,41.886803,42.335945,12.025135,2925734
2000-10-03,42.335945,42.335945,42.335945,42.335945,12.025135,0
2000-10-04,41.795311,43.167694,41.254673,41.762039,11.862123,4655280
2000-10-05,41.853531,42.668644,41.512516,42.177914,11.980248,2472977
2000-10-06,42.003246,43.117786,41.961658,42.676964,12.121997,4551876
2000-10-09,42.585468,44.016075,41.820263,43.042931,12.225947,3699848
2000-10-10,43.433853,45.446682,43.433853,44.332142,12.592137,7027455
2000-10-11,43.833092,45.197159,43.500393,44.041027,12.509448,4697962
2000-10-12,44.215694,45.039124,42.676964,42.918167,12.190511,3950506
2000-10-13,42.918167,42.918167,42.918167,42.918167,12.190511,0
2000-10-16,42.918167,42.918167,42.918167,42.918167,12.190511,0
2000-10-17,42.918167,42.918167,42.918167,42.918167,12.190511,0
2000-10-18,42.918167,42.918167,42.918167,42.918167,12.190511,0
2000-10-19,42.918167,42.918167,42.918167,42.918167,12.190511,0
2000-10-20,42.918167,42.918167,42.918167,42.918167,12.190511,0
2000-10-23,45.995632,45.995632,43.982807,44.889408,12.750423,2963689
2000-10-24,44.889408,44.889408,44.889408,44.889408,12.750423,0
2000-10-25,44.490173,44.490173,42.884899,43.73328,12.422032,3508979
2000-10-26,43.79982,44.85614,42.627056,43.25087,12.285012,5356766
2000-10-27,43.425533,43.483757,41.421024,42.668644,12.119635,5576937
